pitch,tsr,Ct
-4.952153,7.140505,0.750000
-4.529506,7.166850,0.750000
-4.130781,7.210757,0.750000
-3.740032,7.254665,0.750000
-3.325359,7.316136,0.750000
-3.038278,7.364435,0.750000
-2.655502,7.443469,0.750000
-2.185008,7.553238,0.750000
-1.866029,7.645445,0.750000
-1.491228,7.759605,0.750000
-1.180223,7.878156,0.750000
-0.837321,8.014270,0.750000
-0.454545,8.194292,0.750000
-0.119617,8.365532,0.750000
0.199362,8.545554,0.750000
0.486443,8.729967,0.750000
0.757576,8.927552,0.750000
0.996810,9.111965,0.750000
1.299841,9.371021,0.750000
1.531100,9.586169,0.750000
1.858054,9.924259,0.750000
-4.904306,8.163557,0.900000
-4.577352,8.225027,0.900000
-4.242424,8.321625,0.900000
-3.827751,8.444566,0.900000
-3.460925,8.567508,0.900000
-3.133971,8.699232,0.900000
-2.759171,8.857300,0.900000
-2.448166,8.997805,0.900000
-2.105263,9.173436,0.900000
-1.778309,9.353458,0.900000
-1.395534,9.572997,0.900000
-1.076555,9.788145,0.900000
-0.781499,10.007684,0.900000
-4.920255,9.353458,1.050000
-4.649123,9.454446,1.050000
-4.330144,9.599341,1.050000
-4.082935,9.717892,1.050000
-3.819777,9.845225,1.050000
-3.548644,9.994512,1.050000
-3.261563,10.152580,1.050000
0.805423,7.030735,0.600000
1.156300,7.171240,0.600000
1.555024,7.355653,0.600000
1.913876,7.548847,0.600000
2.232855,7.742042,0.600000
2.511962,7.952799,0.600000
2.799043,8.194292,0.600000
3.046252,8.418222,0.600000
3.269537,8.655324,0.600000
3.484848,8.892426,0.600000
3.668262,9.155873,0.600000
3.859649,9.410538,0.600000
4.003190,9.656422,0.600000
4.146730,9.941822,0.600000
